Address,Country,Flipped_Lat,Flipped_Lng,ISO2,ISO3,Index,Latitude,Location,Longitude,Poly_Ctry,Poly_ISO2,Poly_ISO3,Recorded_Lat,Recorded_Lng,Region,Type,geometry,ver_Index
"Fumesua, Ghana",Ghana,6.75,-1.583333,GH,GHA,305,6.75,Fumesua,-1.583333,Ghana,GH,GHA,6.75,-1.583333,Western Africa,Original,POINT (-1.583333 6.75),
"Kwadaso, Ghana",Ghana,6.75,-1.58,GH,GHA,306,6.75,Kwadaso,-1.58,Ghana,GH,GHA,6.75,-1.58,Western Africa,Original,POINT (-1.58 6.75),
"Ejura, Ghana",Ghana,7.383333,-1.366666,GH,GHA,304,7.383333,Ejura,-1.366666,Ghana,GH,GHA,7.383333,-1.366666,Western Africa,Original,POINT (-1.366666 7.383333),
"Damongo, Ghana",Ghana,9.066666,-1.816666,GH,GHA,303,9.066666,Damongo,-1.816666,Ghana,GH,GHA,9.066666,-1.816666,Western Africa,Original,POINT (-1.816666 9.066666),
"Nyankpala, Ghana",Ghana,9.42,-0.97,GH,GHA,307,9.42,Nyankpala,-0.97,Ghana,GH,GHA,9.42,-0.97,Western Africa,Original,POINT (-0.97 9.42),
"Thessaloniki, Greece",Greece,40.55,23.0,GR,GRC,310,40.55,Thessaloniki,23.0,Greece,GR,GRC,40.55,23.0,North Africa and Near East,Original,POINT (23 40.55),
"Jutiapa, Guatemala",Guatemala,14.25,-89.92,GT,GTM,321,14.25,Jutiapa,-89.92,Guatemala,GT,GTM,14.25,-89.92,Central America and Caribbean,Original,POINT (-89.92 14.25),
"Cuyuta, Guatemala",Guatemala,14.25,-90.0,GT,GTM,315,14.25,Cuyuta,-90.0,Guatemala,GT,GTM,14.25,-90.0,Central America and Caribbean,Original,POINT (-90 14.25),
"Tequinzate, Guatemala",Guatemala,14.27,-91.35,GT,GTM,338,14.27,Tequinzate,-91.35,Guatemala,GT,GTM,14.27,-91.35,Central America and Caribbean,Original,POINT (-91.34999999999999 14.27),307.0
"Barcenas, Villa Nuev, Guatemala",Guatemala,14.5467,-90.62283000000001,GT,GTM,312,14.5467,"Barcenas, Villa Nuev",-90.62283000000001,Guatemala,GT,GTM,14.5467,-90.62283000000001,Central America and Caribbe,Original,POINT (-90.62283000000001 14.5467),
"Las Vegas, Guatemala",Guatemala,14.58358,-90.59326,GT,GTM,328,14.58358,Las Vegas,-90.59326,Guatemala,GT,GTM,14.58358,-90.59326,Central America and Caribbe,Original,POINT (-90.59326 14.58358),
"Chimaltenango, Guatemala",Guatemala,14.67,-90.8,GT,GTM,314,14.67,Chimaltenango,-90.8,Guatemala,GT,GTM,14.67,-90.8,Central America and Caribbean,Original,POINT (-90.8 14.67),
"Levy-cayes, Haiti",Haiti,18.2,-73.75,HT,HTI,344,18.2,Levy-cayes,-73.75,Haiti,HT,HTI,18.2,-73.75,Central America and Caribbean,Original,POINT (-73.75 18.2),
"Cayes, Haiti",Haiti,18.27,-73.78,HT,HTI,340,18.27,Cayes,-73.78,Haiti,HT,HTI,18.27,-73.78,Central America and Caribbean,Original,POINT (-73.78 18.27),
"Damien Farm., Haiti",Haiti,19.3,-72.25,HT,HTI,342,19.3,Damien Farm.,-72.25,Haiti,HT,HTI,19.3,-72.25,Central America and Caribbean,Original,POINT (-72.25 19.3),
"Danli, Honduras",Honduras,14.03,-86.5,HN,HND,350,14.03,Danli,-86.5,Honduras,HN,HND,14.03,-86.5,Central America and Caribbean,Original,POINT (-86.5 14.03),
"La Esperanza, Honduras",Honduras,14.25,-88.2,HN,HND,355,14.25,La Esperanza,-88.2,Honduras,HN,HND,14.25,-88.2,Central America and Caribbean,Original,POINT (-88.2 14.25),
"Omonita, Honduras",Honduras,14.4,-87.67,HN,HND,361,14.4,Omonita,-87.67,Honduras,HN,HND,14.4,-87.67,Central America and Caribbean,Original,POINT (-87.67 14.4),
"Comayagua, Honduras",Honduras,14.5,-87.65,HN,HND,348,14.5,Comayagua,-87.65,Honduras,HN,HND,14.5,-87.65,Central America and Caribbean,Original,POINT (-87.65000000000001 14.5),
"Las Acacias, Honduras",Honduras,14.55,-86.43,HN,HND,356,14.55,Las Acacias,-86.43,Honduras,HN,HND,14.55,-86.43,Central America and Caribbean,Original,POINT (-86.43000000000001 14.55),
"Higuero Qumado, Yori, Honduras",Honduras,15.07,-87.33,HN,HND,353,15.07,"Higuero Qumado, Yori",-87.33,Honduras,HN,HND,15.07,-87.33,Central America and Caribbean,Original,POINT (-87.33 15.07),
"Santa Cruz, Yorito,y, Honduras",Honduras,15.07,-87.23,HN,HND,368,15.07,"Santa Cruz, Yorito,y",-87.23,Honduras,HN,HND,15.07,-87.23,Central America and Caribbean,Original,POINT (-87.23 15.07),
"Coimbatore, India",India,11.0,77.0,IN,IND,388,11.0,Coimbatore,77.0,India,IN,IND,11.0,77.0,Asia,Original,POINT (77 11),
"Bangalore, India",India,12.97,77.58,IN,IND,382,12.97,Bangalore,77.58,India,IN,IND,12.97,77.58,Asia,Original,POINT (77.58 12.97),343.0
"Karnataka, India",India,14.0,76.0,IN,IND,406,14.0,Karnataka,76.0,India,IN,IND,14.0,76.0,Asia,Original,POINT (76 14),
"Adoni Mandal, India",India,15.63,77.27,IN,IND,371,15.63,Adoni Mandal,77.27,India,IN,IND,15.63,77.27,Asia,Original,POINT (77.27 15.63),
"Arabhavi, India",India,16.2,74.9,IN,IND,375,16.2,Arabhavi,74.9,India,IN,IND,16.2,74.9,Asia,Original,POINT (74.90000000000001 16.2),
"Kolhapur, India",India,16.72,74.23,IN,IND,409,16.72,Kolhapur,74.23,India,IN,IND,16.72,74.23,Asia,Original,POINT (74.23 16.72),
"Hyderabad, India",India,17.33,78.5,IN,IND,397,17.33,Hyderabad,78.5,India,IN,IND,17.33,78.5,Asia,Original,POINT (78.5 17.33),
"Medchal, India",India,17.68,78.45,IN,IND,411,17.68,Medchal,78.45,India,IN,IND,17.68,78.45,Asia,Original,POINT (78.45 17.68),
"Pune, India",India,18.57,73.97,IN,IND,423,18.57,Pune,73.97,India,IN,IND,18.57,73.97,Asia,Original,POINT (73.97 18.57),
"P.r Pally, India",India,18.98,77.92,IN,IND,415,18.98,P.r Pally,77.92,India,IN,IND,18.98,77.92,Asia,Original,POINT (77.92 18.98),
"Jalna, India",India,19.85,75.88,IN,IND,400,19.85,Jalna,75.88,India,IN,IND,19.85,75.88,Asia,Original,POINT (75.88 19.85),
"Issarwadi, India",India,19.87,75.37,IN,IND,399,19.87,Issarwadi,75.37,India,IN,IND,19.87,75.37,Asia,Original,POINT (75.37 19.87),
"Raipur, India",India,21.2336,81.63,IN,IND,427,21.2336,Raipur,81.63,India,IN,IND,21.2336,81.63,Asia,Original,POINT (81.63 21.2336),
"Jashipur, India",India,21.28,85.68,IN,IND,401,21.28,Jashipur,85.68,India,IN,IND,21.28,85.68,Asia,Original,POINT (85.68000000000001 21.28),
"Godhra, India",India,22.75,73.67,IN,IND,395,22.75,Godhra,73.67,India,IN,IND,22.75,73.67,Asia,Original,POINT (73.67 22.75),
"Chhindwara, India",India,22.82,79.4,IN,IND,387,22.82,Chhindwara,79.4,India,IN,IND,22.82,79.4,Asia,Original,POINT (79.40000000000001 22.82),
"Banswara, India",India,23.55,74.45,IN,IND,383,23.55,Banswara,74.45,India,IN,IND,23.55,74.45,Asia,Original,POINT (74.45 23.55),
"Udaipur, India",India,24.58,73.68,IN,IND,435,24.58,Udaipur,73.68,India,IN,IND,24.58,73.68,Asia,Original,POINT (73.68000000000001 24.58),
"Aurangabad, India",India,24.73935,84.33655,IN,IND,377,24.73935,Aurangabad,84.33655,India,IN,IND,24.73935,84.33655,Asia,Original,POINT (84.33655 24.73935),
"Varanasi, India",India,25.3,83.05,IN,IND,437,25.3,Varanasi,83.05,India,IN,IND,25.3,83.05,Asia,Original,POINT (83.05 25.3),
"Umiam Meghalaya, India",India,25.363879999999998,90.92285,IN,IND,436,25.363879999999998,Umiam Meghalaya,90.92285,India,IN,IND,25.363879999999998,90.92285,Asia,Original,POINT (90.92285 25.36388),
"Begusarai, Bihar, India",India,25.4169,86.13,IN,IND,384,25.4169,"Begusarai, Bihar",86.13,India,IN,IND,25.4169,86.13,Asia,Original,POINT (86.13 25.4169),
"Dholi, India",India,25.98,86.25,IN,IND,392,25.98,Dholi,86.25,India,IN,IND,25.98,86.25,Asia,Original,POINT (86.25 25.98),352.0
"Kanpur, India",India,26.45,80.67,IN,IND,404,26.45,Kanpur,80.67,India,IN,IND,26.45,80.67,Asia,Original,POINT (80.67 26.45),
"Jorhat, India",India,26.77,94.27,IN,IND,402,26.77,Jorhat,94.27,India,IN,IND,26.77,94.27,Asia,Original,POINT (94.27 26.77),
"Bahraich, India",India,27.72,81.6,IN,IND,378,27.72,Bahraich,81.6,India,IN,IND,27.72,81.6,Asia,Original,POINT (81.59999999999999 27.72),
"Delhi, India",India,28.07,77.17,IN,IND,389,28.07,Delhi,77.17,India,IN,IND,28.07,77.17,Asia,Original,POINT (77.17 28.07),
"Sonipat, India",India,29.0,77.02,IN,IND,432,29.0,Sonipat,77.02,India,IN,IND,29.0,77.02,Asia,Original,POINT (77.02 29),
"Pantnagar, India",India,29.0,79.45,IN,IND,418,29.0,Pantnagar,79.45,India,IN,IND,29.0,79.45,Asia,Original,POINT (79.45 29),376.0
"Almora, India",India,29.6,79.67,IN,IND,372,29.6,Almora,79.67,India,IN,IND,29.6,79.67,Asia,Original,POINT (79.67 29.6),
"Pahalgam, India",India,29.68805,76.88231999999999,IN,IND,416,29.68805,Pahalgam,76.88231999999999,India,IN,IND,29.68805,76.88231999999999,Asia,Original,POINT (76.88231999999999 29.68805),
"Wahdan, Pahalgam, Kashmir, India",India,29.68805,76.88231999999999,IN,IND,438,29.68805,"Wahdan, Pahalgam, Kashmir",76.88231999999999,India,IN,IND,29.68805,76.88231999999999,Asia,Original,POINT (76.88231999999999 29.68805),
"Kangra (h.p.), India",India,29.68805,76.88231999999999,IN,IND,403,29.68805,Kangra (h.p.),76.88231999999999,India,IN,IND,29.68805,76.88231999999999,Asia,Original,POINT (76.88231999999999 29.68805),
"Karnal, India",India,29.72,76.97,IN,IND,405,29.72,Karnal,76.97,India,IN,IND,29.72,76.97,Asia,Original,POINT (76.97 29.72),
"Dhaulakuan, India",India,30.08,77.08,IN,IND,390,30.08,Dhaulakuan,77.08,India,IN,IND,30.08,77.08,Asia,Original,POINT (77.08 30.08),
"Auli, India",India,30.52,79.57,IN,IND,376,30.52,Auli,79.57,India,IN,IND,30.52,79.57,Asia,Original,POINT (79.56999999999999 30.52),
"Ludhiana, India",India,30.9,75.8,IN,IND,410,30.9,Ludhiana,75.8,India,IN,IND,30.9,75.8,Asia,Original,POINT (75.8 30.9),
"Bajaura, India",India,32.55,78.3,IN,IND,380,32.55,Bajaura,78.3,India,IN,IND,32.55,78.3,Asia,Original,POINT (78.3 32.55),
"Anantnagar, India",India,34.0,74.7,IN,IND,374,34.0,Anantnagar,74.7,India,IN,IND,34.0,74.7,Asia,Original,POINT (74.7 34),
"Srinagar, India",India,34.1,74.9,IN,IND,433,34.1,Srinagar,74.9,India,IN,IND,34.1,74.9,Asia,Original,POINT (74.90000000000001 34.1),
"Safiabad, Iran",Iran,32.54681,54.36035,IR,IRN,453,32.54681,Safiabad,54.36035,Iran (Islamic Republic of),IR,IRN,32.54681,54.36035,Asia,Original,POINT (54.36035 32.54681),
"Bouake, Cote d'Ivoire",Cote d'Ivoire,7.68,-5.03,CI,CIV,220,7.68,Bouake,-5.03,Cote d'Ivoire,CI,CIV,7.68,-5.03,Western Africa,Original,POINT (-5.03 7.68),
"Warda/adrao-mbe, Cote d'Ivoire",Cote d'Ivoire,7.866666,-5.1,CI,CIV,224,7.866666,Warda/adrao-mbe,-5.1,Cote d'Ivoire,CI,CIV,7.866666,-5.1,Western Africa,Original,POINT (-5.1 7.866666),
"Badikaha, Cote d'Ivoire",Cote d'Ivoire,8.0,-5.0,CI,CIV,219,8.0,Badikaha,-5.0,Cote d'Ivoire,CI,CIV,8.0,-5.0,Western Africa,Original,POINT (-5 8),
"Touba, Cote d'Ivoire",Cote d'Ivoire,8.366666,-7.7,CI,CIV,223,8.366666,Touba,-7.7,Cote d'Ivoire,CI,CIV,8.366666,-7.7,Western Africa,Original,POINT (-7.7 8.366666),
"Ferkessedougou, Cote d'Ivoire",Cote d'Ivoire,9.58,-5.23,CI,CIV,221,9.58,Ferkessedougou,-5.23,Cote d'Ivoire,CI,CIV,9.58,-5.23,Western Africa,Original,POINT (-5.23 9.58),
"Sinematiali, Cote d'Ivoire",Cote d'Ivoire,9.62,-3.07,CI,CIV,222,9.62,Sinematiali,-3.07,Cote d'Ivoire,CI,CIV,9.62,-3.07,Western Africa,Original,POINT (-3.07 9.619999999999999),
"Baghdad, Iraq",Iraq,33.03,40.28,IQ,IRQ,455,33.03,Baghdad,40.28,Iraq,IQ,IRQ,33.03,40.28,North Africa and Near East,Original,POINT (40.28 33.03),
"Kiboko, Kenya",Kenya,-2.25,37.73,KE,KEN,482,-2.25,Kiboko,37.73,Kenya,KE,KEN,-2.25,37.73,Eastern and Southern Africa,Original,POINT (37.73 -2.25),
"Emali, Kenya",Kenya,-2.1361,37.7856,KE,KEN,468,-2.1361,Emali,37.7856,Kenya,KE,KEN,-2.1361,37.7856,Eastern and Southern Africa,Original,POINT (37.7856 -2.1361),
"Kampiyamawe, Kenya",Kenya,-1.85,37.67,KE,KEN,476,-1.85,Kampiyamawe,37.67,Kenya,KE,KEN,-1.85,37.67,Eastern and Southern Africa,Original,POINT (37.67 -1.85),
"Katumani, Kenya",Kenya,-1.6,37.23,KE,KEN,479,-1.6,Katumani,37.23,Kenya,KE,KEN,-1.6,37.23,Eastern and Southern Africa,Original,POINT (37.23 -1.6),
"Ithookwe, Kenya",Kenya,-1.0333,37.8333,KE,KEN,473,-1.0333,Ithookwe,37.8333,Kenya,KE,KEN,-1.0333,37.8333,Eastern and Southern Africa,Original,POINT (37.8333 -1.0333),
"Busia, Kenya",Kenya,-0.7772,34.1728,KE,KEN,466,-0.7772,Busia,34.1728,Kenya,KE,KEN,-0.7772,34.1728,Eastern and Southern Africa,Original,POINT (34.1728 -0.7772),
"Homabay, Kenya",Kenya,-0.51,34.45,KE,KEN,472,-0.51,Homabay,34.45,Kenya,KE,KEN,-0.51,34.45,Eastern and Southern Africa,Original,POINT (34.45 -0.51),
"Embu, Kenya",Kenya,-0.5,37.45,KE,KEN,469,-0.5,Embu,37.45,Kenya,KE,KEN,-0.5,37.45,Eastern and Southern Africa,Original,POINT (37.45 -0.5),
"Bondo- On Farm, Kenya",Kenya,-0.1003,34.2755,KE,KEN,461,-0.1003,Bondo- On Farm,34.2755,Kenya,KE,KEN,-0.1003,34.2755,Eastern and Southern Africa,Original,POINT (34.2755 -0.1003),
"Kibos, Kenya",Kenya,-0.07,34.82,KE,KEN,483,-0.07,Kibos,34.82,Kenya,KE,KEN,-0.07,34.82,Eastern and Southern Africa,Original,POINT (34.82 -0.07000000000000001),
"Kesref, Kenya",Kenya,-0.0667,34.8167,KE,KEN,481,-0.0667,Kesref,34.8167,Kenya,KE,KEN,-0.0667,34.8167,Eastern and Southern Africa,Original,POINT (34.8167 -0.0667),
"Emabwi, Kenya",Kenya,0.0846,34.5569,KE,KEN,467,0.0846,Emabwi,34.5569,Kenya,KE,KEN,0.0846,34.5569,Eastern and Southern Africa,Original,POINT (34.5569 0.08459999999999999),
"Emuhaya, Kenya",Kenya,0.092,34.5712,KE,KEN,470,0.092,Emuhaya,34.5712,Kenya,KE,KEN,0.092,34.5712,Eastern and Southern Africa,Original,POINT (34.5712 0.092),
"Bukura, Kenya",Kenya,0.2564,34.6899,KE,KEN,462,0.2564,Bukura,34.6899,Kenya,KE,KEN,0.2564,34.6899,Eastern and Southern Africa,Original,POINT (34.6899 0.2564),
"Kakamega, Kenya",Kenya,0.27,34.74,KE,KEN,475,0.27,Kakamega,34.74,Kenya,KE,KEN,0.27,34.74,Eastern and Southern Africa,Original,POINT (34.74 0.27),
"Bungema, Kenya",Kenya,0.44769,37.81494,KE,KEN,463,0.44769,Bungema,37.81494,Kenya,KE,KEN,0.44769,37.81494,Eastern and Southern Africa,Original,POINT (37.81494 0.44769),
"Kenya, Kenya",Kenya,0.44769,37.81494,KE,KEN,480,0.44769,Kenya,37.81494,Kenya,KE,KEN,0.44769,37.81494,Eastern and Southern Africa,Original,POINT (37.81494 0.44769),
"Burura, Kenya",Kenya,0.44769,37.81494,KE,KEN,465,0.44769,Burura,37.81494,Kenya,KE,KEN,0.44769,37.81494,Eastern and Southern Africa,Original,POINT (37.81494 0.44769),
"Bungoma, Kenya",Kenya,0.569369,34.561139000000004,KE,KEN,464,0.569369,Bungoma,34.561139000000004,Kenya,KE,KEN,0.569369,34.561139000000004,Eastern and Southern Africa,Original,POINT (34.561139 0.569369),
"Endebess, Kenya",Kenya,1.0642399999999999,34.85687,KE,KEN,471,1.0642399999999999,Endebess,34.85687,Kenya,KE,KEN,1.0642399999999999,34.85687,Eastern and Southern Africa,Original,POINT (34.85687 1.06424),
"Goodhope, Botswana",Botswana,-25.48,25.47,BW,BWA,72,-25.48,Goodhope,25.47,Botswana,BW,BWA,-25.48,25.47,Eastern and Southern Africa,Original,POINT (25.47 -25.48),
"Sebele-lown, Botswana",Botswana,-24.6,26.0,BW,BWA,77,-24.6,Sebele-lown,26.0,Botswana,BW,BWA,-24.6,26.0,Eastern and Southern Africa,Original,POINT (26 -24.6),
"Sebele, Botswana",Botswana,-24.57,25.95,BW,BWA,76,-24.57,Sebele,25.95,Botswana,BW,BWA,-24.57,25.95,Eastern and Southern Africa,Original,POINT (25.95 -24.57),
"Hukuntsi, Botswana",Botswana,-24.0,21.8,BW,BWA,73,-24.0,Hukuntsi,21.8,Botswana,BW,BWA,-24.0,21.8,Eastern and Southern Africa,Original,POINT (21.8 -24),
"Pelotshetlha, Botswana",Botswana,-23.03,26.517,BW,BWA,75,-23.03,Pelotshetlha,26.517,Botswana,BW,BWA,-23.03,26.517,Eastern and Southern Africa,Original,POINT (26.517 -23.03),
"Pandamatenga, Botswana",Botswana,-18.55,25.65,BW,BWA,74,-18.55,Pandamatenga,25.65,Botswana,BW,BWA,-18.55,25.65,Eastern and Southern Africa,Original,POINT (25.65 -18.55),
"Farako-ba, Burkina Faso",Burkina Faso,11.1,-4.3333330000000005,BF,BFA,85,11.1,Farako-ba,-4.3333330000000005,Burkina Faso,BF,BFA,11.1,-4.3333330000000005,Western Africa,Original,POINT (-4.333333000000001 11.1),
"Kouare, Burkina Faso",Burkina Faso,11.916666000000001,-0.166666,BF,BFA,87,11.916666000000001,Kouare,-0.166666,Burkina Faso,BF,BFA,11.916666000000001,-0.166666,Western Africa,Original,POINT (-0.166666 11.916666),
"Kamboinse, Burkina Faso",Burkina Faso,12.47,-1.53,BF,BFA,86,12.47,Kamboinse,-1.53,Burkina Faso,BF,BFA,12.47,-1.53,Western Africa,Original,POINT (-1.53 12.47),
"Malang, Indonesia",Indonesia,-7.98,112.75,ID,IDN,444,-7.98,Malang,112.75,Indonesia,ID,IDN,-7.98,112.75,Asia,Original,POINT (112.75 -7.98),
"Maros, Indonesia",Indonesia,-4.98,119.58,ID,IDN,445,-4.98,Maros,119.58,Indonesia,ID,IDN,-4.98,119.58,Asia,Original,POINT (119.58 -4.98),
